Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;Município Declarante;UF Declarante;Descrição;Logradouro;Número;Complemento;Bairro;Cidade;UF;CEP;Latitude;Longitude
137;2019;2018;;04/10/2019;SANTA CATARINA;Criciúma;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Forquilinha;Criciúma;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Criciúma;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Linha Batista;Criciúma;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Criciúma;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Naspollini;Criciúma;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Criciúma;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Renascer;Criciúma;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Corupá;SC;Área degradada por disposição irregular de RSU (lixão desativado).;BR 281 (margens);;;;Corupá;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Concórdia;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Flamengo;Concórdia;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Concórdia;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Zona rural;;;Colibri;Concórdia;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Cocal do Sul;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Área industrial II;;;;Cocal do Sul;SC;;-28.617.228;-49.297.806
137;2019;2018;;04/10/2019;SANTA CATARINA;Celso Ramos;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Área Rural;;;;Celso Ramos;SC;;-27.622.472;-51.338.167
137;2019;2018;;04/10/2019;SANTA CATARINA;Camboriú;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Rio Pequeno;Camboriú;SC;;-27.047.947;-48.623.203
137;2019;2018;;04/10/2019;SANTA CATARINA;Calmon;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Sem informação;;;;Calmon;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Iomerê;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;;Iomerê;SC;;-26.994.167;-51.198.056
