Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;Município Declarante;UF Declarante;Descritivo/Detalhamento;Link do Estudo de Regionalização;Município
137;2019;2018;;04/10/2019;SANTA CATARINA;Treviso;SC;Região de Urussanga;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Treviso
137;2019;2018;;04/10/2019;SANTA CATARINA;Urussanga;SC;Região de Urussanga;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Urussanga
137;2019;2018;;04/10/2019;SANTA CATARINA;Abelardo Luz;SC;Região de Xanxerê;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Abelardo Luz
137;2019;2018;;04/10/2019;SANTA CATARINA;Bom Jesus;SC;Região de Xanxerê;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Bom Jesus
137;2019;2018;;04/10/2019;SANTA CATARINA;Entre Rios;SC;Região de Xanxerê;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Entre Rios
137;2019;2018;;04/10/2019;SANTA CATARINA;Faxinal dos Guedes;SC;Região de Xanxerê;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Faxinal dos Guedes
137;2019;2018;;04/10/2019;SANTA CATARINA;Ipuaçu;SC;Região de Xanxerê;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Ipuaçu
137;2019;2018;;04/10/2019;SANTA CATARINA;Lajeado Grande;SC;Região de Xanxerê;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Lajeado Grande
137;2019;2018;;04/10/2019;SANTA CATARINA;Marema;SC;Região de Xanxerê;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Marema
137;2019;2018;;04/10/2019;SANTA CATARINA;Ouro Verde;SC;Região de Xanxerê;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Ouro Verde
137;2019;2018;;04/10/2019;SANTA CATARINA;Passos Maia;SC;Região de Xanxerê;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Passos Maia
137;2019;2018;;04/10/2019;SANTA CATARINA;Ponte Serrada;SC;Região de Xanxerê;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Ponte Serrada
137;2019;2018;;04/10/2019;SANTA CATARINA;Vargeão;SC;Região de Xanxerê;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Vargeão
137;2019;2018;;04/10/2019;SANTA CATARINA;Xaxim;SC;Região de Xanxerê;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Xaxim
137;2019;2018;;04/10/2019;SANTA CATARINA;Santa Terezinha;SC;Região de Taió;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Santa Terezinha
137;2019;2018;;04/10/2019;SANTA CATARINA;Campo Erê;SC;Região de São Lourenço do Oeste;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Campo Erê
137;2019;2018;;04/10/2019;SANTA CATARINA;Iomerê;SC;Região de Caçador;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Iomerê
137;2019;2018;;04/10/2019;SANTA CATARINA;Três Barras;SC;Região de Canoinhas;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Três Barras
137;2019;2018;;04/10/2019;SANTA CATARINA;Xanxerê;SC;Região de Xanxerê;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Xanxerê
